id,date,due_date,supplier_type,supplier_id,supplier_taxid,project_id,stock_subttl,stock_tax,stock_grandttl,expense_subttl,expense_tax,expense_grandttl,asset_subttl,asset_tax,asset_grandttl,grandtax,grandttl,status,paidttl,note,ins,user_id,doc_ref_type,doc_ref,po_id,created_at,updated_at,suppliername,tid,tax,amountpaid,is_tax_exc
49,2022-03-26,2022-04-26,supplier,8,NULL,NULL,0,0,0,1350,0,1350,0,0,0,0,1350,Paid,1350,"minitrunking trunking plastic 1pc@600,dp switch 1 pc@450,conta glue 1/4 ltr@300,2.5mm3 core cable 6 mtrs@,",1,1,DNote,907,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,1350,1
50,2022-03-28,2022-04-28,supplier,8,NULL,303,0,0,0,18000,0,18000,0,0,0,0,18000,Paid,18000,"2.5 4 core cable 6mtrs,(1 roll)@18,000",1,1,DNote,912,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,18000,1
51,2022-03-28,2022-04-28,supplier,8,NULL,202,0,0,0,22000,0,22000,0,0,0,0,22000,Paid,22000,"Comp 24,000 btu R410 @22000,",1,1,DNote,918,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,22000,1
52,2022-03-28,2022-04-28,supplier,8,NULL,NULL,0,0,0,1000,0,1000,0,0,0,0,1000,Paid,1000,1 map gas@1000,1,1,DNote,920,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,1000,1
53,2022-03-29,2022-04-29,supplier,8,NULL,189,0,0,0,51350,0,51350,0,0,0,0,51350,Paid,51350,"profile 10 pcs@10,000,corner cover 30 pcs@1050,corner plate 40 pcs@1400,contaglue 2 ltrs2,000,h-dionet 8 pcs@4,800,Aluminium tape 3 pcs@900,pal sheets 4 pcs@31200",1,1,DNote,923,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,51350,1
54,2022-03-31,2022-05-01,supplier,8,NULL,141,0,0,0,35000,0,35000,0,0,0,0,35000,Paid,35000,"Comp 24,000 r410@22,000,R410 gas@13,000",1,1,DNote,929,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,35000,1
55,2022-03-31,2022-05-01,supplier,8,NULL,260,0,0,0,12920,0,12920,0,0,0,0,12920,Paid,12920,"1/2 copper pipe@7,500,1/4 copper pipe@3,500,Amoflex 1/2 8pcs@1120,Amoflex 1/4 8 pcs@800,Cable 2.5mm 3 core(15mtrs)",1,1,DNote,934,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,12920,1
56,2022-04-01,2022-05-02,supplier,8,NULL,287,0,0,0,50000,0,50000,0,0,0,0,50000,Paid,50000,"Maxron R410 5 cylinders@50,000",1,1,DNote,937,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,50000,1
57,2022-03-29,2022-04-29,supplier,8,NULL,NULL,0,0,0,130000,0,130000,0,0,0,0,130000,pmt,130000,Payment via KCB Bank ref:FT22088QB0YJ,1,1,KCB Bank,FT22088QB0YJ,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,130000,1
58,2022-04-01,2022-05-02,supplier,8,NULL,NULL,0,0,0,500000,0,500000,0,0,0,0,500000,pmt,500000,Payment via KCB Bank ref:FT220912NDVJ,1,1,KCB Bank,FT220912NDVJ,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,500000,1
59,2022-04-05,2022-05-06,supplier,8,NULL,NULL,0,0,0,13000,0,13000,0,0,0,0,13000,Paid,13000,"R410 gas 1 cylinder@,13,000",1,1,DNote,945,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,13000,1
60,2022-04-05,2022-05-06,supplier,8,NULL,307,0,0,0,130000,0,130000,0,0,0,0,130000,Paid,130000,"R410 gas 1 cylinder@,13,000",1,1,DNote,946,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,130000,1
61,2022-04-06,2022-05-07,supplier,8,NULL,288,0,0,0,1150,0,1150,0,0,0,0,1150,Paid,1150,"Aluminium tape 1pc@350,mason bit 12@800",1,1,DNote,948,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,1150,1
62,2022-04-06,2022-05-07,supplier,8,NULL,290,0,0,0,30350,0,30350,0,0,0,0,30350,Paid,30350,"315 SMP Inline fan@27,000,Alumunium threaded tape@350,2mtrs canvas@3,000",1,1,DNote,949,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,30350,1
63,2022-04-07,2022-05-08,supplier,8,NULL,288,0,0,0,14000,0,14000,0,0,0,0,14000,Paid,14000,"Fiber insulation 1 roll@14,000",1,1,DNote,951,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,14000,1
64,2022-04-08,2022-05-09,supplier,8,NULL,296,0,0,0,9000,0,9000,0,0,0,0,9000,Paid,9000,R22 gas@9000,1,1,DNote,958,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,9000,1
65,2022-04-09,2022-05-10,supplier,8,NULL,336,0,0,0,3000,0,3000,0,0,0,0,3000,Paid,3000,"Fan motor outdoor@3,000",1,1,DNote,964,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,3000,1
66,2022-04-09,2022-05-10,supplier,8,NULL,298,0,0,0,13000,0,13000,0,0,0,0,13000,Paid,13000,"R410 gas@13,000",1,1,DNote,968,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,13000,1
67,2022-04-12,2022-05-13,supplier,8,NULL,300,0,0,0,30000,0,30000,0,0,0,0,30000,Paid,30000,"R410 comp 18kbtu@17,000,R410 gas 1pc@,13,000",1,1,DNote,976,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,30000,1
68,2022-04-12,2022-05-13,supplier,8,NULL,306,0,0,0,13000,0,13000,0,0,0,0,13000,Paid,13000,"R410 gas@13,000",1,1,DNote,979,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,13000,1
69,2022-04-13,2022-05-14,supplier,8,NULL,288,0,0,0,90000,0,90000,0,0,0,0,90000,Paid,90000,"Double grill 450 by 250 face 2pcs@9,000",1,1,DNote,981,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,90000,1
70,2022-04-19,2022-05-20,supplier,8,NULL,468,0,0,0,40300,0,40300,0,0,0,0,40300,Paid,40300,"R410 24kbtu comp,@22,000R410 gas@13,000,contactor 32 amps single phase@4,000,Copper rods 1 pkt@1,300",1,1,DNote,997,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,40300,1
71,2022-04-19,2022-05-20,supplier,8,NULL,468,0,0,0,3000,0,3000,0,0,0,0,3000,Paid,3000,Outdoor fan motor 1 pc@3000,1,1,DNote,1001,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,3000,1
72,2022-04-20,2022-05-21,supplier,8,NULL,321,0,0,0,29000,0,29000,0,0,0,0,29000,Paid,29000,"5/8 copper pipe(1 roll)@8,500,2.5mm 3 core cable(1 roll)@15,000,outdoor bracket(1 pc)@1,000,1 map gas@1,000,32 amps circuit breaker@3,00032 amps d,p switch@500",1,1,DNote,1008,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,29000,1
73,2022-04-20,2022-05-21,supplier,8,NULL,309,0,0,0,14100,0,14100,0,0,0,0,14100,Paid,14100,"5/8 copper pipe(1 roll)@8,500,3/8 copper pipe(1 roll)@4,000,Amoflex 5/8 10 pcs@1600",1,1,DNote,1009,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,14100,1
74,2022-04-21,2022-05-22,supplier,8,NULL,468,0,0,0,27000,0,27000,0,0,0,0,27000,Paid,27000,"R 22 Gas 3 pcs@27,000",1,1,DNote,1013,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,27000,1
75,2022-04-21,2022-05-22,supplier,8,NULL,308,0,0,0,9000,0,9000,0,0,0,0,9000,Paid,9000,"R 22 1 Pc @9,000",1,1,DNote,1016,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,9000,1
